year,state,votes,party
1976,AK,71555,REP
1976,AK,44058,DEM
1976,AK,6785,LIB
1976,AK,1176,OTHER
1980,AK,86112,REP
1980,AK,41842,DEM
1980,AK,18479,LIB
1980,AK,11155,OTHER
1980,AK,857,OTHER
1984,AK,138377,REP
1984,AK,62007,DEM
1984,AK,6378,LIB
1984,AK,843,OTHER
1988,AK,119251,REP
1988,AK,72584,DEM
1988,AK,5484,LIB
1988,AK,1024,OTHER
1988,AK,957,OTHER
1988,AK,816,OTHER
1992,AK,102000,REP
1992,AK,78294,DEM
1992,AK,73481,OTHER
1992,AK,1379,OTHER
1992,AK,1378,LIB
1992,AK,469,OTHER
1992,AK,433,OTHER
1992,AK,377,OTHER
1992,AK,365,OTHER
1992,AK,330,OTHER
1996,AK,122746,REP
1996,AK,80380,DEM
1996,AK,26333,OTHER
1996,AK,7597,OTHER
1996,AK,2276,LIB
1996,AK,925,OTHER
1996,AK,729,OTHER
1996,AK,634,OTHER
2000,AK,167398,REP
2000,AK,79004,DEM
2000,AK,28747,OTHER
2000,AK,5192,OTHER
2000,AK,2636,LIB
2000,AK,1068,OTHER
2000,AK,919,OTHER
2000,AK,596,OTHER
2004,AK,190889,REP
2004,AK,111025,DEM
2004,AK,5069,OTHER
2004,AK,2092,OTHER
2004,AK,1675,LIB
2004,AK,1058,OTHER
2004,AK,790,OTHER
2008,AK,193841,REP
2008,AK,123594,DEM
2008,AK,3783,OTHER
2008,AK,1730,OTHER
2008,AK,1660,OTHER
2008,AK,1589,LIB
2012,AK,164676,REP
2012,AK,122640,DEM
2012,AK,7392,LIB
2012,AK,2917,OTHER
2012,AK,2870,OTHER
2016,AK,163387,REP
2016,AK,116454,DEM
2016,AK,18725,LIB
2016,AK,9201,OTHER
2016,AK,5735,OTHER
2016,AK,3866,OTHER
2016,AK,1240,OTHER
2020,AK,153778,DEM
2020,AK,189951,REP
2020,AK,8897,LIB
2020,AK,318,OTHER
2020,AK,825,OTHER
2020,AK,2673,OTHER
2020,AK,1127,OTHER
2020,AK,1961,OTHER
1976,AL,659170,DEM
1976,AL,504070,REP
1976,AL,9198,OTHER
1976,AL,6669,OTHER
1976,AL,1954,OTHER
1976,AL,1481,LIB
1976,AL,308,OTHER
1980,AL,654192,REP
1980,AL,636730,DEM
1980,AL,16481,OTHER
1980,AL,15010,OTHER
1980,AL,13318,LIB
1980,AL,1743,OTHER
1980,AL,1629,OTHER
1980,AL,1303,OTHER
1980,AL,1006,OTHER
1980,AL,517,OTHER
1984,AL,872849,REP
1984,AL,551899,DEM
1984,AL,9504,LIB
1984,AL,4671,OTHER
1984,AL,1401,OTHER
1984,AL,730,OTHER
1984,AL,659,OTHER
1988,AL,815576,REP
1988,AL,549506,DEM
1988,AL,8460,LIB
1988,AL,4428,OTHER
1988,AL,506,OTHER
1992,AL,804283,REP
1992,AL,690080,DEM
1992,AL,183109,OTHER
1992,AL,5737,LIB
1992,AL,4128,OTHER
1992,AL,723,OTHER
1996,AL,769044,REP
1996,AL,662165,DEM
1996,AL,95030,OTHER
1996,AL,5290,LIB
1996,AL,1697,OTHER
1996,AL,1123,OTHER
2000,AL,941173,REP
2000,AL,692611,DEM
2000,AL,25896,OTHER
2000,AL,5893,LIB
2000,AL,699,OTHER
2004,AL,1176394,REP
2004,AL,693933,DEM
2004,AL,12190,OTHER
2004,AL,898,OTHER
2008,AL,1266546,REP
2008,AL,813479,DEM
2008,AL,16089,OTHER
2008,AL,3705,OTHER
2012,AL,1255925,REP
2012,AL,795696,DEM
2012,AL,18706,OTHER
2012,AL,4011,OTHER
2016,AL,1318255,REP
2016,AL,729547,DEM
2016,AL,44467,LIB
2016,AL,21712,OTHER
2016,AL,9391,OTHER
2020,AL,849624,DEM
2020,AL,1441170,REP
2020,AL,25176,LIB
2020,AL,7312,OTHER
1976,AR,498604,DEM
1976,AR,267903,REP
1976,AR,639,OTHER
1976,AR,389,OTHER
1980,AR,403164,REP
1980,AR,398041,DEM
1980,AR,22468,OTHER
1980,AR,8970,LIB
1980,AR,2345,OTHER
1980,AR,1350,OTHER
1980,AR,1244,OTHER
1984,AR,534774,REP
1984,AR,338646,DEM
1984,AR,2221,LIB
1984,AR,1890,OTHER
1984,AR,1499,OTHER
1984,AR,1461,OTHER
1984,AR,1291,OTHER
1984,AR,960,OTHER
1984,AR,842,OTHER
1984,AR,822,OTHER
1988,AR,466578,REP
1988,AR,349237,DEM
1988,AR,5146,OTHER
1988,AR,3297,LIB
1988,AR,2161,OTHER
1988,AR,1319,OTHER
1992,AR,505823,DEM
1992,AR,337324,REP
1992,AR,99132,OTHER
1992,AR,8374,OTHER
1996,AR,475171,DEM
1996,AR,325416,REP
1996,AR,69884,OTHER
1996,AR,3649,OTHER
1996,AR,3076,LIB
1996,AR,2065,OTHER
1996,AR,932,OTHER
1996,AR,823,OTHER
1996,AR,749,OTHER
1996,AR,747,OTHER
1996,AR,729,OTHER
1996,AR,538,OTHER
1996,AR,483,OTHER
2000,AR,472940,REP
2000,AR,422768,DEM
2000,AR,13421,OTHER
2000,AR,7358,OTHER
2000,AR,2781,LIB
2000,AR,1415,OTHER
2000,AR,1098,OTHER
2004,AR,572898,REP
2004,AR,469953,DEM
2004,AR,6171,OTHER
2004,AR,2352,LIB
2004,AR,2083,OTHER
2004,AR,1488,OTHER
2008,AR,638017,REP
2008,AR,422310,DEM
2008,AR,12882,OTHER
2008,AR,4776,LIB
2008,AR,4023,OTHER
2008,AR,3470,OTHER
2008,AR,1139,OTHER
2012,AR,647744,REP
2012,AR,394409,DEM
2012,AR,16276,LIB
2012,AR,9305,OTHER
2012,AR,1734,OTHER
2016,AR,684872,REP
2016,AR,380494,DEM
2016,AR,29829,LIB
2016,AR,13255,OTHER
2016,AR,9473,OTHER
2016,AR,4709,OTHER
2016,AR,4613,OTHER
2016,AR,3390,OTHER
2020,AR,1713,OTHER
2020,AR,2108,OTHER
2020,AR,423932,DEM
2020,AR,2980,OTHER
2020,AR,2141,OTHER
2020,AR,1475,OTHER
2020,AR,4099,OTHER
2020,AR,2812,OTHER
2020,AR,1321,OTHER
2020,AR,13133,LIB
2020,AR,1372,OTHER
2020,AR,760647,REP
2020,AR,1336,OTHER
1976,AZ,418642,REP
1976,AZ,295602,DEM
1976,AZ,19229,OTHER
1976,AZ,7647,LIB
1976,AZ,928,OTHER
1976,AZ,564,OTHER
1976,AZ,85,OTHER
1976,AZ,22,OTHER
1980,AZ,529688,REP
1980,AZ,246843,DEM
1980,AZ,76952,OTHER
1980,AZ,18784,LIB
1980,AZ,1100,OTHER
1980,AZ,551,OTHER
1980,AZ,25,OTHER
1980,AZ,2,OTHER
1984,AZ,681416,REP
1984,AZ,333854,DEM
1984,AZ,10585,LIB
1984,AZ,42,OTHER
1988,AZ,702541,REP
1988,AZ,454029,DEM
1988,AZ,13351,LIB
1988,AZ,1662,OTHER
1988,AZ,290,OTHER
1992,AZ,572086,REP
1992,AZ,543050,DEM
1992,AZ,353741,OTHER
1992,AZ,8141,OTHER
1992,AZ,6759,LIB
1992,AZ,2267,OTHER
1992,AZ,923,OTHER
1992,AZ,8,OTHER
1996,AZ,653288,DEM
1996,AZ,622073,REP
1996,AZ,112072,OTHER
1996,AZ,14358,LIB
1996,AZ,2573,OTHER
1996,AZ,41,OTHER
2000,AZ,781652,REP
2000,AZ,685341,DEM
2000,AZ,45645,OTHER
2000,AZ,12373,OTHER
2000,AZ,5775,LIB
2000,AZ,1120,OTHER
2000,AZ,110,OTHER
2004,AZ,1104294,REP
2004,AZ,893524,DEM
2004,AZ,11856,LIB
2004,AZ,2911,OTHER
2008,AZ,1230111,REP
2008,AZ,1034707,DEM
2008,AZ,12555,LIB
2008,AZ,11301,OTHER
2008,AZ,3406,OTHER
2008,AZ,1395,OTHER
2012,AZ,1233654,REP
2012,AZ,1025232,DEM
2012,AZ,32100,LIB
2012,AZ,7816,OTHER
2012,AZ,452,OTHER
2016,AZ,1252401,REP
2016,AZ,1161167,DEM
2016,AZ,106327,LIB
2016,AZ,34345,OTHER
2016,AZ,17473,OTHER
2016,AZ,1058,OTHER
2016,AZ,311,OTHER
2016,AZ,42,DEM
2016,AZ,29,OTHER
2016,AZ,12,OTHER
2020,AZ,1672143,DEM
2020,AZ,1661686,REP
2020,AZ,51465,LIB
2020,AZ,190,OTHER
2020,AZ,36,OTHER
2020,AZ,236,OTHER
2020,AZ,13,OTHER
2020,AZ,1557,OTHER
1976,CA,3882244,REP
1976,CA,3742284,DEM
1976,CA,56388,OTHER
1976,CA,51098,OTHER
1976,CA,41731,OTHER
1976,CA,17259,OTHER
1976,CA,12766,OTHER
1980,CA,4522994,REP
1980,CA,3082943,DEM
1980,CA,739618,OTHER
1980,CA,148390,LIB
1980,CA,61046,OTHER
1980,CA,18106,OTHER
1980,CA,9841,OTHER
1984,CA,5467009,REP
1984,CA,3922519,DEM
1984,CA,49951,LIB
1984,CA,39265,OTHER
1984,CA,26297,OTHER
1988,CA,5054917,REP
1988,CA,4702233,DEM
1988,CA,70105,LIB
1988,CA,58999,OTHER
1988,CA,811,OTHER
1992,CA,5121325,DEM
1992,CA,3630574,REP
1992,CA,2296006,OTHER
1992,CA,48139,LIB
1992,CA,18597,OTHER
1992,CA,12711,OTHER
1992,CA,4369,OTHER
1996,CA,5119835,DEM
1996,CA,3828381,REP
1996,CA,697847,OTHER
1996,CA,237016,OTHER
1996,CA,73600,LIB
1996,CA,25332,OTHER
1996,CA,21202,OTHER
1996,CA,15403,OTHER
1996,CA,853,OTHER
2000,CA,5861203,DEM
2000,CA,4567429,REP
2000,CA,418707,OTHER
2000,CA,45520,LIB
2000,CA,44987,OTHER
2000,CA,17042,OTHER
2000,CA,10934,OTHER
2004,CA,6745485,DEM
2004,CA,5509826,REP
2004,CA,50165,LIB
2004,CA,40771,OTHER
2004,CA,27607,OTHER
2004,CA,26645,OTHER
2004,CA,20854,OTHER
2008,CA,8274473,DEM
2008,CA,5011781,REP
2008,CA,108381,OTHER
2008,CA,67582,LIB
2008,CA,40673,OTHER
2008,CA,38774,OTHER
2008,CA,20236,OTHER
2012,CA,7854285,DEM
2012,CA,4839958,REP
2012,CA,143221,LIB
2012,CA,85638,OTHER
2012,CA,53824,OTHER
2012,CA,38372,OTHER
2012,CA,23249,OTHER
2016,CA,8753788,DEM
2016,CA,4483810,REP
2016,CA,478500,LIB
2016,CA,278657,OTHER
2016,CA,120739,OTHER
2016,CA,66101,OTHER
2020,CA,11110250,DEM
2020,CA,6006429,REP
2020,CA,187895,LIB
2020,CA,81029,OTHER
2020,CA,60160,OTHER
2020,CA,51037,OTHER
2020,CA,2605,OTHER
2020,CA,611,OTHER
2020,CA,559,OTHER
2020,CA,185,OTHER
2020,CA,121,OTHER
1976,CO,584278,REP
1976,CO,460801,DEM
1976,CO,26047,OTHER
1976,CO,5338,LIB
1976,CO,2886,OTHER
1976,CO,1122,OTHER
1976,CO,565,OTHER
1976,CO,403,OTHER
1980,CO,652264,REP
1980,CO,368009,DEM
1980,CO,130633,OTHER
1980,CO,25744,LIB
1980,CO,5614,OTHER
1980,CO,1180,OTHER
1980,CO,519,OTHER
1980,CO,487,OTHER
1984,CO,821817,REP
1984,CO,454975,DEM
1984,CO,11257,LIB
1984,CO,4662,OTHER
1984,CO,978,OTHER
1984,CO,858,OTHER
1984,CO,810,OTHER
1984,CO,23,OTHER
1988,CO,728177,REP
1988,CO,621453,DEM
1988,CO,15482,LIB
1988,CO,4604,OTHER
1988,CO,2539,OTHER
1988,CO,139,OTHER
1992,CO,629681,DEM
1992,CO,562850,REP
1992,CO,366010,OTHER
1992,CO,8669,LIB
1992,CO,1608,OTHER
1992,CO,274,OTHER
1992,CO,47,OTHER
1992,CO,21,OTHER
1992,CO,20,OTHER
1996,CO,691848,REP
1996,CO,671152,DEM
1996,CO,99629,OTHER
1996,CO,25070,OTHER
1996,CO,12392,LIB
1996,CO,2813,OTHER
1996,CO,2809,OTHER
1996,CO,2545,OTHER
1996,CO,669,OTHER
1996,CO,599,OTHER
1996,CO,557,OTHER
1996,CO,375,OTHER
1996,CO,244,OTHER
2000,CO,883748,REP
