Course ,Section,Days,Max
1105,1,M,100
1105,2,W,100
1105,3,F,100
1105,4,F,100
1310,2,TR,50
1310,8,TR,50
1310,1,MW,50
1310,3,TR,150
1320,1,MW,45
1320,2,MW,45
1320,3,MWF,50
1320,5,MWF,50
1325,5,MW,50
1325,6,MWF,50
1325,4,MWF,50
1325,3,MW,50
1325,1,TR,50
1325,2,TR,50
2100,1,F,0
2100,2,T,0
2100,3,W,20
2100,4,R,20
2100,5,F,20
2100,6,W,20
2100,7,F,20
2100,8,T,20
2100,9,R,20
2312,2,TR,50
2312,1,TR,50
2315,5,TR,45
2315,1,MW,50
2315,2,TR,50
2320,1,TR,60
2320,4,TR,60
2320,2,TR,50
2320,3,TR,50
2440,1,TR,30
2440,2,M,15
2440,3,M,15
2441,1,TR,30
2441,2,F,15
2441,3,F,15
3302,1,TR,50
3302,2,TR,50
3302,3,W,50
3310,3,MW,50
3310,1,TR,50
3310,2,MW,50
3311,1,MW,35
3313,1,TR,50
3315,1,TR,60
3315,2,TR,60
3320,2,MW ,60
3320,3,MW ,60
3320,1,MW,50
3323,1,TR,30
3323,2,F,30
3380,1,TR,50
3442,1,TR,30
3442,2,T,15
3442,3,R,15
4191,1,TBA,10
4303,1,F,20
4305,1,TR,20
4308,2,TR,20
4308,1,MW,50
4309,1,MWF,40
4314,2,TR,50
4316,3,TR,30
4316,4,F,30
4316,5,MWF,30
4316,6,F,30
4316,1,MWF,30
4316,2,F,30
4316,7,MWF,30
4316,8,F,30
4317,1,TR,30
4317,2,F,30
4317,3,MWF,30
4317,4,F,30
4321,1,TR,50
4322,1,TR,50
4323,2,TR,45
4331,1,TR,10
4334,2,MW,50
4334,1,TR,20
4342,1,TR,30
4344,1,TR,50
4345,1,MW ,50
4351,1,TR,15
4360,1,MW,20
4361,1,TR,45
4378,1,MW,10
4380,1,T,45
4380,2,R,45
4391,1,TBA,10
4392,1,F,10
4392,4,MW,2
5191,1,TBA,50
5301,1,TR,50
5301,2,TR,50
5301,3,TR,50
5301,4,MW,50
5306,3,MWF,45
5306,4,MWF,45
5306,2,TR,45
5311,6,W,45
5311,4,S,50
5311,1,MW,50
5311,3,MW,50
5317,1,TR,25
5321,1,TR,60
5322,1,TR,45
5324,1,TR,48
5325,3,TR,50
5330,2,S,45
5331,1,TR,35
5334,1,TR,45
5334,2,T,50
5334,3,TR,25
5335,2,MW,50
5335,3,MW,50
5335,4,T,50
5335,1,TR,45
5344,1,MW,50
5345,2,R,45
5349,2,F,45
5349,3,MW,20
5349,1,TR,20
5350,1,MW,1
5351,1,TR,25
5360,2,TR,25
5360,1,MW,50
5364,1,MW,25
5365,1,F,25
5368,1,TR,45
5380,1,F,45
5380,2,TBA,45
5382,1,F,35
5382,2,MW,1
5383,1,MW,10
5392,2,TR,45
6324,1,MW,30
6324,2,TR,30
6329,2,F,40
6329,1,TR,48
6331,1,TR,2
6349,3,MW,20
6349,1,TR,20
6363,2,M,30
6363,1,MW,40
